Date,Open,High,Low,Close,Adj Close,Volume
16-11-22,1251.808838,1264.486328,1192.987793,1215.60,1215.602539,11939561598
17-11-22,1215.848633,1224.965698,1189.15271,1200.81,1200.808594,9723646871
18-11-22,1200.802124,1226.737427,1200.802124,1212.30,1212.300293,7979913378
19-11-22,1212.215454,1227.83728,1200.475586,1218.43,1218.426758,5978745776
20-11-22,1218.436279,1224.077759,1137.933228,1142.47,1142.466675,9651002684
21-11-22,1142.395752,1142.395752,1084.8573,1108.35,1108.353027,14080099208
22-11-22,1107.895996,1136.442627,1081.138184,1135.17,1135.173462,12040670755
23-11-22,1135.421509,1184.997314,1130.022827,1183.20,1183.199585,11242676044
24-11-22,1183.345093,1211.627441,1180.379761,1203.98,1203.983154,9706372376
25-11-22,1203.799438,1203.799438,1174.823364,1198.93,1198.925903,5483308196
26-11-22,1198.790527,1227.038086,1198.0979,1205.90,1205.897949,5074160558
27-11-22,1205.905273,1220.349487,1195.039063,1195.13,1195.126953,4486976868
28-11-22,1194.960327,1198.737671,1156.0625,1170.09,1170.086182,7275411870
29-11-22,1169.87439,1222.164185,1163.477539,1216.90,1216.901245,7639405818
30-11-22,1216.928711,1302.038696,1215.497925,1295.69,1295.688599,9836925304
01-12-22,1295.769531,1295.999878,1267.708496,1276.27,1276.273926,6857935276
02-12-22,1276.328613,1294.303345,1269.243164,1294.30,1294.303345,6213645709
03-12-22,1294.456543,1299.840332,1241.431885,1243.33,1243.334839,5672609405
04-12-22,1243.219238,1281.49231,1242.911743,1280.26,1280.256592,5174128454
05-12-22,1279.998901,1302.237549,1252.472412,1259.68,1259.676758,6120359523
06-12-22,1259.854248,1271.923218,1247.629883,1271.65,1271.653809,5089212680
07-12-22,1271.553101,1272.694092,1224.447998,1232.44,1232.4375,5752205180
08-12-22,1232.451782,1286.229736,1226.358521,1281.12,1281.116333,6227269815
09-12-22,1281.077271,1290.05542,1260.818726,1264.28,1264.28479,5706183865
10-12-22,1264.375488,1279.527954,1262.119873,1266.38,1266.384155,3282499999
11-12-22,1266.417847,1281.783203,1260.663696,1263.87,1263.86853,3362005848
12-12-22,1263.573486,1275.610352,1243.477783,1274.62,1274.619019,5151109364
13-12-22,1274.662476,1341.439331,1258.472412,1320.55,1320.549194,8812883119
14-12-22,1320.688599,1346.174438,1305.833374,1309.33,1309.328735,7830915428
15-12-22,1309.190796,1311.067139,1262.689331,1266.35,1266.353882,6032859783
16-12-22,1266.460571,1278.156982,1162.175659,1168.26,1168.259399,9297811507
17-12-22,1168.066772,1189.045044,1165.407837,1188.15,1188.149536,5077258586
18-12-22,1188.12854,1194.214478,1176.185791,1184.72,1184.71521,3350092519
19-12-22,1184.758301,1192.923828,1160.377197,1167.61,1167.609863,4943628091
20-12-22,1167.88269,1224.092651,1165.599487,1217.70,1217.703613,6684951715
21-12-22,1217.586426,1218.192261,1206.440063,1213.60,1213.599976,4217182733
22-12-22,1213.672607,1221.986816,1187.127808,1218.18,1218.182129,5297471739
23-12-22,1218.079346,1226.998779,1215.994873,1220.16,1220.159424,4835831923
24-12-22,1220.11792,1224.911621,1216.338745,1221.15,1221.14856,2626153345
25-12-22,1221.171509,1223.517822,1203.719604,1218.96,1218.962036,3942720070
26-12-22,1218.920166,1226.974365,1214.335938,1226.97,1226.974365,3282098400
27-12-22,1226.987061,1230.418091,1205.89563,1212.79,1212.791626,4091530737
28-12-22,1212.736572,1213.128906,1185.702148,1189.99,1189.986084,4991669631
29-12-22,1190.010132,1204.141602,1188.360229,1201.60,1201.595337,4132233940
30-12-22,1201.56958,1202.034668,1187.462524,1199.23,1199.232788,4055668253
31-12-22,1199.360107,1205.088623,1194.203735,1196.77,1196.77124,3018513333
01-01-23,1196.713623,1203.475342,1192.885376,1200.96,1200.964844,2399674550
02-01-23,1201.103271,1219.860596,1195.214966,1214.66,1214.656616,3765758498
03-01-23,1214.744019,1219.095337,1207.491577,1214.78,1214.778809,3392972131
04-01-23,1214.718628,1264.807495,1213.168823,1256.53,1256.526611,6404416893
05-01-23,1256.484619,1258.571533,1245.173096,1250.44,1250.438599,4001786456
06-01-23,1250.458984,1273.220337,1240.94751,1269.38,1269.379028,4977252792
07-01-23,1269.4198,1270.598267,1262.271118,1264.27,1264.270386,2565213548
08-01-23,1264.181885,1287.359497,1260.226807,1287.36,1287.359497,3495088905
09-01-23,1287.450806,1342.144165,1286.680786,1321.54,1321.53894,7990438824
10-01-23,1321.395508,1342.757202,1318.527222,1336.59,1336.58606,5830173253
11-01-23,1336.486816,1387.932739,1323.58313,1387.93,1387.932739,6314904311
12-01-23,1405.35144,1432.28125,1378.422119,1417.94,1417.938477,12230193038
13-01-23,1417.946167,1461.672729,1404.023926,1451.61,1451.614868,7684148212
14-01-23,1451.428467,1563.739136,1450.988403,1550.71,1550.706909,15444626014
15-01-23,1550.731567,1556.950806,1520.893799,1552.48,1552.479492,6774614499
16-01-23,1552.519287,1594.039795,1529.573608,1576.83,1576.833496,8454485431
17-01-23,1577.107422,1594.000977,1553.335938,1567.85,1567.846069,7599462786
18-01-23,1567.698975,1602.106689,1509.422852,1515.51,1515.506958,10354880595
19-01-23,1515.249634,1557.970337,1514.380005,1552.56,1552.556519,6432638856
